order_number,customer_name,customer_phone,customer_address,delivery_cost
NIVS2708,Alanna Grushin,3607152504,01 Susan Lane,437
NIVS6095,Toby Corbert,5426386879,5233 Brickson Park Junction,996
NIVS4178,Ole Areles,3298456065,79 School Trail,955
NIVS9308,Claude Abbe,7581618238,26953 Transport Court,662
NIVS3082,Anthiathia Lotterington,7794848774,9676 Cody Junction,879
NIVS3875,Base Purtell,9901007742,64 Kenwood Pass,476
NIVS3888,Emmy Chalfain,2714319850,3 Waywood Center,303
NIVS5403,Hermine Avon,2548562023,18 Washington Plaza,597
NIVS6920,Timmie Pearcey,4542743547,1 Westridge Hill,856
NIVS4384,Giffy Queree,2482366665,23 Sutteridge Lane,231
NIVS3518,Ewen Layzell,4804018454,52 Arkansas Alley,149
NIVS9864,Kerri McGuinley,5524301589,0 Pierstorff Junction,588
NIVS9171,Lynsey Hunnaball,3623968253,3213 Portage Way,368
NIVS1411,Orv O'Doherty,1129294546,8692 Sage Parkway,263
NIVS3889,Kirbie Sketcher,2465304116,174 Onsgard Hill,811
NIVS4099,Marianne Polet,5229118417,9 Schlimgen Drive,713
NIVS9415,Edlin Fragino,8906476429,713 Warner Alley,985
NIVS3399,Johnnie Noades,9528018553,10 Portage Way,994
NIVS6016,Malvina O'Brallaghan,2188784324,76 Doe Crossing Street,443
NIVS6153,Skelly Buff,9536554428,0 Eagle Crest Point,579
NIVS7388,Sunny Horrod,2952332458,73412 Ilene Pass,325
NIVS7960,Bernetta Gilleon,6311603486,2178 Gina Road,319
NIVS3258,Junia Byre,7926655609,9396 Delladonna Pass,905
NIVS1395,Isahella Skain,4566692787,3 Aberg Trail,345
NIVS1704,Bendite De Maria,6975540663,92 Pond Trail,798
NIVS0420,Blake Beggin,3872521957,7383 Grover Street,264
NIVS2496,Salaidh Panter,5852952641,8 Loomis Drive,960
NIVS7203,Mandel Kingsman,9194934239,20467 Buhler Park,746
NIVS9726,Joni Ruddin,7027354197,04 David Circle,305
NIVS1517,Jessie Plewman,7894001979,5 Badeau Drive,432
NIVS9427,Jo Greatorex,3537706465,72 Mendota Lane,133
NIVS3785,Orville Pinckstone,2075768072,0 Graceland Drive,997
NIVS3627,Damian Ortes,1772207414,119 Kinsman Avenue,689
NIVS7675,Ophelie Richen,4643509718,88850 Maple Wood Court,455
NIVS6930,Enoch Walkden,7644813850,3 East Place,995
NIVS5843,Flin Trigg,5123424477,64509 Mesta Drive,842
NIVS2037,Rudy Bareham,4268633800,0 Victoria Center,430
NIVS1416,Nollie Rosterne,3193802302,3 Ruskin Street,923
NIVS1113,Cyril Korneluk,1961427165,1682 Moland Park,222
NAIVS25226,Gustavus Gebuhr,3782029801,6 Bayside Lane,789
NAIVS20373,Shandie Nutting,7295519223,59572 Vahlen Avenue,977
NAIVS10467,Giffard Musterd,3391896131,7 Nevada Center,559
NAIVS17226,Gaylord Pitrollo,4871506877,0 Mifflin Crossing,829
NAIVS32925,Maia Oiseau,8003349107,5902 Birchwood Circle,354
NAIVS09050,Pietra Oglethorpe,2386456149,44432 Riverside Circle,104
NAIVS82984,Umeko Gregoretti,4079154468,0413 Lake View Road,233
NAIVS04586,Lilyan Rassell,8837585582,9 Mcbride Crossing,715
NAIVS81123,Camila Gilpin,5598383311,872 Oxford Avenue,311
NAIVS43479,Glennie Idell,4007051326,53243 Namekagon Parkway,101
NAIVS00252,Hedwig Sheerman,8017243183,10537 Westend Circle,663
NAIVS50055,Bendicty Pughe,9098504810,6064 Cordelia Drive,294
NAIVS02895,Ancell Iacovolo,1747908767,80860 Northport Terrace,960
NAIVS66624,Alys Oxenford,7498539634,136 Warner Center,956
NAIVS51852,Salomon Menat,7408486062,9 Granby Street,264
NAIVS09981,Ches Mulvaney,1249814015,30994 Holmberg Center,854
NAIVS57836,Alyda Witham,1943758970,58 Truax Avenue,344
NAIVS14580,Bambie Palfree,5365110584,01 Loftsgordon Park,926
NAIVS46960,Cate Gauntley,2762394480,0 Muir Crossing,346
NAIVS13224,Bobbie Gurney,7064550935,0597 Vahlen Trail,127
NAIVS87029,Natka Stiffell,3228270426,1667 Spenser Terrace,948
NAIVS23284,Delmar Farraway,9452655037,79930 Golf Court,180
NAIVS68290,Jenna D'Elias,4879743130,58444 Golf Course Alley,865
NAIVS89483,Wendall Martensen,8004750105,38330 Basil Circle,963
NAIVS18988,Maurita McGonagle,2981028974,37023 Toban Lane,581
NAIVS58604,Juline Capper,9225008673,02044 Clemons Way,324
NAIVS92471,Obadiah Haugg,7892599141,8084 5th Pass,377
NAIVS82608,Massimo Hackleton,2826974558,32 Oak Valley Circle,439
NAIVS89232,Estele Dubber,4882234209,9 Granby Point,607
NAIVS57436,Stacee Pritty,7743654166,4 Bayside Center,752
NAIVS52243,Korie Costellow,2937842740,03 Cherokee Trail,343
NAIVS94090,Chad Jerred,6338685228,10 Northfield Plaza,653
NAIVS12321,Meta Wadmore,4065800446,06 Schurz Way,176
NAIVS88883,Lenard Berni,9458373533,2 Longview Circle,963
NAIVS66304,Johanna Pluthero,1623495192,23 Nancy Place,424
NAIVS91220,Kyle Skarin,1597758520,345 Mccormick Drive,812
NAIVS85301,Jasmine Bend,4149378653,78 Marcy Place,425
NAIVS33364,Chariot Cammis,7461103411,1974 John Wall Parkway,584
NAIVS12569,Kit Le Frank,1853309111,019 Clove Hill,954
NAIVS72020,Gianna Habbes,8994760980,313 Monica Circle,322
NAIVS48484,Derward Stockall,9048375942,8536 Clarendon Point,759
NAIVS87857,Ollie Cato,3148968921,08880 Daystar Terrace,772
NAIVS06104,Jeth Birchwood,8258303177,715 Lerdahl Way,344
NAIVS28417,Reine Gayle,3964092345,2 Fairfield Terrace,304
NAIVS54337,Cobby Cicculini,9097013090,9826 Golf Parkway,194
NAIVS60301,Idelle Southorn,2944677563,35 Summit Avenue,346
NAIVS74765,Carlie Chappell,7182822177,12 Cody Circle,806
NAIVS32868,Garey Stefi,1416843653,16489 Lake View Plaza,276
NAIVS48746,Taffy Torrijos,8884499396,8 Laurel Junction,851
NAIVS37215,Neddy Adnam,9282903364,6 Bartelt Street,826
NAIVS29577,Coretta Haddrell,2757080428,123 Ronald Regan Avenue,499
NAIVS77393,Adrienne Baine,6331143572,12662 Mayer Place,169
NAIVS03667,Felice MacIan,5491755150,43609 Redwing Court,196
NAIVS97837,Ken Greenalf,9629088250,4 Cordelia Pass,652
NAIVS87767,Ilka Kissock,8592902292,483 Mayfield Street,446
NAIVS87183,Stephie Owthwaite,8163100868,827 Pearson Park,798
NAIVS30208,Ariel Bartoleyn,2183529027,86 Hoard Road,573
NAIVS38323,Lissa Di Biaggi,7256474570,07039 Lindbergh Avenue,356
NAIVS23649,Itch Kunath,4382471973,6685 Grasskamp Junction,826
NAIVS91205,Frazier Gehrts,1565452641,71203 Independence Place,758
NAIVS76516,Ken Paoletti,3426252431,06 Welch Way,601
NAIVS53468,Filide Skayman,5952250210,2633 Dexter Point,946
NAIVS63366,Christopher Polson,6614353910,08229 International Place,392
NAIVS56225,Isaiah Gilhespy,5473086807,58 Arrowood Drive,955
NAIVS33631,Paige Broddle,3465821589,97 Ridgeview Court,327
NAIVS70932,Anette Dillingham,7187174999,3597 Leroy Trail,822
NAIVS40399,Paulita Emslie,8954451309,0336 Weeping Birch Drive,135
NAIVS39545,Englebert Bussens,2222786320,8333 4th Trail,132
NAIVS52105,Tildi Dosdell,8657412493,9067 Sutteridge Alley,602
NAIVS52771,Catarina Bastard,8453789399,31211 Brentwood Park,829
NAIVS04695,Maegan Alenichicov,6323894662,48631 Buell Parkway,852
NAIVS59819,Melva Cockshot,8447763975,801 Sugar Alley,633
NAIVS99786,Allie Sharples,3916981147,4384 Pond Parkway,795
NAIVS12868,Car Suatt,6649748419,20 Manitowish Drive,188
NAIVS87962,Coraline Duiguid,5647168941,42 Bashford Alley,823
NAIVS37526,Pancho Daughton,3895851587,4 Continental Court,152
NAIVS15002,Rebeka Pischoff,3527754213,43 Schiller Park,479
NAIVS11717,Adela Bruster,3834200843,382 Corry Park,859
NAIVS05238,Griffy Jevons,8397416240,98 Moose Court,582
NAIVS96839,Ethe Buglass,9524370048,5 Forest Alley,639
NAIVS93433,Rodd Ebbrell,5849662412,9 Artisan Center,539
NAIVS15757,Ollie Swift,1629341750,2 Russell Court,232
NAIVS68401,Lianne McMurty,9456610380,0742 Gale Crossing,124
NAIVS78856,Lilith Barbier,9644323217,6 Vera Junction,473
NAIVS41368,Keary Kieran,3859329518,178 Dayton Road,317
NAIVS48734,Lindy Bourrel,9657708356,5 Canary Center,775
NAIVS72082,Zeke Iacovone,8945937247,9 Milwaukee Avenue,781
NAIVS30897,Moselle Schaumann,8902292176,3477 Menomonie Terrace,207
NAIVS82360,Patrice Labell,1981378547,2801 Sauthoff Road,178
NAIVS48238,Cherilyn Izakovitz,6556549057,2244 Shoshone Crossing,926
NAIVS86353,Bonnie Elliot,7147435563,3615 Clyde Gallagher Street,361
NAIVS23380,Alverta Flaxon,7303224499,0331 Fremont Pass,906
NAIVS32852,Stephani Scarlett,2466718997,021 Katie Court,318
NAIVS73369,Ernaline Mitchener,4295738845,46 Melvin Way,694
NAIVS51490,Bernadine Salway,6312184692,43531 Arapahoe Park,634
NAIVS36897,Paige Turpie,5004314616,51 Florence Point,141
NAIVS28759,Faustine Poel,6972989981,83067 Oak Parkway,416
NAIVS60024,Sarena Maybery,4685221957,08667 Nevada Place,102
NAIVS70029,Gunter Huster,9821376982,1 Maple Crossing,730
NAIVS63959,Demetre Butters,7129300869,9 Forster Hill,112
